caseid,processname,processversion,archiveddate,status
56509,Project_Creation,1.6.0.3,21/03/2018_14:38:53;,delete
56519,Project_Creation,1.6.0.3,21/03/2018_14:38:55;,delete
57015,VzBLDMajorTransportPool,1.6.3.1.6,21/03/2018_14:40:25;,delete
57033,CancelNFIDProcess,1.6.8,21/03/2018_14:40:25;,delete
57039,Project_Creation,1.6.0.3,21/03/2018_14:43:57;,delete
57040,Project_Creation,1.6.0.3,21/03/2018_14:44:50;,delete
57067,Project_Creation,1.6.0.3,21/03/2018_14:47:04;,delete
56623,Project_Creation,1.6.0.3,21/03/2018_14:57:51;,delete
57104,Project_Creation,1.6.0.3,21/03/2018_14:59:39;,delete
56655,VNSP_WF_PURGE_VNF_DB,1,21/03/2018_15:13:19;,delete
56706,Project_Creation,1.6.0.3,21/03/2018_15:56:27;,delete
57123,Project_Creation,1.6.0.3,21/03/2018_15:56:30;,delete
56709,VNSP_WF_ORDER_BUILD_REQUIRED,1.2,21/03/2018_16:03:09;,delete
57126,Project_Creation,1.6.0.3,21/03/2018_16:59:26;,delete
56710,Project_Creation,1.6.0.3,21/03/2018_17:09:23;,delete
57143,Project_Creation,1.6.0.3,21/03/2018_17:11:43;,delete
57157,Project_Creation,1.6.0.3,21/03/2018_17:11:47;,delete
57160,Project_Creation,1.6.0.3,21/03/2018_17:11:48;,delete
57159,Project_Creation,1.6.0.3,21/03/2018_17:11:48;,delete
56726,Project_Creation,1.6.0.3,21/03/2018_17:11:49;,delete
56734,Project_Creation,1.6.0.3,21/03/2018_17:11:49;,delete
56770,VNSP_WF_PURGE_VNF_DB,1,21/03/2018_17:27:24;,delete
56771,Project_Creation,1.6.0.3,21/03/2018_17:30:49;,delete
57203,Project_Creation,1.6.0.3,21/03/2018_17:31:11;,delete
56779,Project_Creation,1.6.0.3,21/03/2018_17:31:12;,delete
57211,Project_Creation,1.6.0.3,21/03/2018_17:31:14;,delete
56797,Project_Creation,1.6.0.3,21/03/2018_17:31:16;,delete
57233,Project_Creation,1.6.0.3,21/03/2018_17:31:27;,delete
56816,Project_Creation,1.6.0.3,21/03/2018_17:31:43;,delete
57234,Project_Creation,1.6.0.3,21/03/2018_17:31:52;,delete
56833,VNSP_WF_PURGE_VNF_DB,1,21/03/2018_17:40:06;,delete
57255,Project_Creation,1.6.0.3,21/03/2018_17:54:36;,delete
56838,Project_Creation,1.6.0.3,21/03/2018_17:54:36;,delete
56853,Project_Creation,1.6.0.3,21/03/2018_17:54:40;,delete
56854,Project_Creation,1.6.0.3,21/03/2018_17:54:41;,delete
56864,Project_Creation,1.6.0.3,21/03/2018_17:54:43;,delete
57284,Project_Creation,1.6.0.3,21/03/2018_17:54:45;,delete
56883,Project_Creation,1.6.0.3,21/03/2018_17:54:47;,delete
57314,Project_Creation,1.6.0.3,21/03/2018_17:59:02;,delete
56889,Project_Creation,1.6.0.3,21/03/2018_18:15:27;,delete
57335,Project_Creation,1.6.0.3,21/03/2018_18:31:13;,delete
56890,Project_Creation,1.6.0.3,21/03/2018_18:32:21;,delete
57336,Project_Creation,1.6.0.3,21/03/2018_18:33:16;,delete
56894,Project_Creation,1.6.0.3,21/03/2018_20:46:44;,delete
57338,Project_Creation,1.6.0.3,21/03/2018_21:32:11;,delete
57341,Project_Creation,1.6.0.3,21/03/2018_21:56:14;,delete
56913,Project_Creation,1.6.0.3,21/03/2018_21:56:21;,delete
56927,Project_Creation,1.6.0.3,22/03/2018_01:35:10;,delete
56928,Project_Creation,1.6.0.3,22/03/2018_01:35:11;,delete
57356,Project_Creation,1.6.0.3,22/03/2018_01:35:11;,delete
56929,Project_Creation,1.6.0.3,22/03/2018_01:35:13;,delete
57357,Project_Creation,1.6.0.3,22/03/2018_01:35:13;,delete
57358,OOFVendorDocProcessing,5.6,22/03/2018_01:37:03;,delete
56934,VNSP_WF_ORDER_PROVISIONING_WB,1.6,22/03/2018_02:18:04;,delete
57361,Project_Creation,1.6.0.3,22/03/2018_02:18:52;,delete
56942,Project_Creation,1.6.0.3,22/03/2018_02:20:53;,delete
56938,VNSP_WF_PURGE_VNF_DB,1,22/03/2018_02:23:49;,delete
57362,Project_Creation,1.6.0.3,22/03/2018_02:32:39;,delete
57368,Project_Creation,1.6.0.3,22/03/2018_02:53:08;,delete
57369,Project_Creation,1.6.0.3,22/03/2018_02:56:18;,delete
57370,Project_Creation,1.6.0.3,22/03/2018_03:06:11;,delete
57371,Project_Creation,1.6.0.3,22/03/2018_03:19:29;,delete
57372,Project_Creation,1.6.0.3,22/03/2018_03:48:16;,delete
56975,Project_Creation,1.6.0.3,22/03/2018_03:48:18;,delete
57373,Project_Creation,1.6.0.3,22/03/2018_03:49:21;,delete
56977,Project_Creation,1.6.0.3,22/03/2018_03:49:41;,delete
